mfc1,mfc2,mfc3,mfc4,mfc5,mfc6,mfc7,mfc8,mfc9,mfc10,x1,y1,x2,y2,n,split
0.0,0.0129,0.0306,0.0686,0.062,0.0,0.0169,0.035,0.0995,0.0812,11930.0,3100.0,,,1,train
0.1861,0.0603,0.047,0.0741,0.0642,0.0594,0.0518,0.0497,0.1045,0.085,11930.0,3100.0,930.0,100.0,2,train
0.1815,0.0516,0.0213,0.0131,0.009,0.0549,0.0412,0.0213,0.0124,0.0292,930.0,100.0,,,1,train
0.194,0.084,0.1669,0.1477,0.0492,0.067,0.0686,0.0696,0.0683,0.0592,930.0,100.0,9930.0,850.0,2,train
0.0187,0.0404,0.1504,0.1399,0.0459,0.0187,0.037,0.0554,0.0622,0.0574,9930.0,850.0,,,1,test
0.1394,0.1784,0.2134,0.1632,0.056,0.1244,0.1594,0.1167,0.0856,0.0667,9930.0,850.0,4930.0,2350.0,2,test
0.1228,0.1433,0.0692,0.0306,0.0159,0.109,0.1293,0.0684,0.0312,0.0367,4930.0,2350.0,,,1,train
0.129,0.156,0.094,0.0536,0.0282,0.1159,0.153,0.1864,0.0809,0.0487,4930.0,2350.0,9180.0,4600.0,2,test
0.0223,0.0292,0.0363,0.0341,0.0222,0.0235,0.0437,0.1338,0.0626,0.0442,9180.0,4600.0,,,1,train
0.0491,0.1029,0.0804,0.0466,0.0255,0.0426,0.0768,0.1576,0.0723,0.0467,9180.0,4600.0,6180.0,1600.0,2,train
0.0425,0.0892,0.0548,0.0226,0.012,0.0351,0.0517,0.0381,0.0213,0.0331,6180.0,1600.0,,,1,train
0.0429,0.0913,0.0631,0.0535,0.1134,0.0355,0.054,0.0463,0.0577,0.1642,6180.0,1600.0,14680.0,3100.0,2,train
0.0154,0.0182,0.0201,0.0413,0.1809,0.0159,0.0213,0.0223,0.0478,0.1608,14680.0,3100.0,,,1,train
0.009,0.0227,0.0877,0.082,0.119,0.0103,0.0217,0.0328,0.0618,0.1675,14680.0,3100.0,9680.0,350.0,2,train
0.0094,0.0214,0.0795,0.0524,0.0214,0.0108,0.0204,0.0255,0.0275,0.0403,9680.0,350.0,,,1,train
0.0499,0.0978,0.1199,0.0638,0.0234,0.0422,0.0655,0.0545,0.0378,0.0409,9680.0,350.0,5930.0,1850.0,2,train
0.0478,0.0872,0.0502,0.0223,0.0124,0.0406,0.0585,0.0404,0.0218,0.0341,5930.0,1850.0,,,1,train
0.0666,0.1135,0.076,0.0355,0.0174,0.0643,0.1468,0.1125,0.0392,0.0381,5930.0,1850.0,6180.0,3600.0,2,train
0.0262,0.0361,0.0326,0.0213,0.0124,0.0332,0.101,0.0821,0.0262,0.0342,6180.0,3600.0,,,1,train
0.0327,0.0505,0.0614,0.0494,0.026,0.0406,0.1249,0.1785,0.0869,0.0512,6180.0,3600.0,9430.0,4350.0,2,train
0.0152,0.0246,0.03555,0.0355,0.0222,0.0172,0.037,0.1072,0.0693,0.0455,9430.0,4350.0,,,1,train
0.1088,0.0713,0.0532,0.0414,0.024,0.1339,0.0903,0.1251,0.0747,0.0468,9430.0,4350.0,2180.0,3350.0,2,train
0.1015,0.0562,0.0247,0.0137,0.0,0.1256,0.0654,0.027,0.0135,0.0306,2180.0,3350.0,,,1,train
0.146,0.115,0.0524,0.0218,0.0089,0.1644,0.1157,0.0525,0.0215,0.0306,2180.0,3350.0,5180.0,2350.0,2,train
0.0525,0.0676,0.0347,0.0169,0.009,0.048,0.0618,0.0343,0.0169,0.0311,5180.0,2350.0,,,1,train
0.091,0.0988,0.0509,0.023,0.0108,0.1507,0.1512,0.0569,0.0235,0.0321,5180.0,2350.0,4180.0,4850.0,2,train
0.0451,0.04,0.0227,0.0138,0.0019,0.1113,0.1012,0.0311,0.0147,0.0307,4180.0,4850.0,,,1,train
0.0,0.0135,0.0206,0.039,0.039,0.0037,0.0166,0.028,0.1101,0.0728,11930.0,3850.0,,,1,train
0.0739,0.1415,0.0431,0.0457,0.0413,0.0364,0.0431,0.0424,0.1154,0.075,11930.0,3850.0,4680.0,100.0,2,train
0.0713,0.1351,0.0281,0.0135,0.0,0.342,0.0367,0.022,0.0129,0.0309,4680.0,100.0,,,1,train
0.1046,0.2382,0.0785,0.0269,0.0114,0.0566,0.0685,0.0455,0.0235,0.0323,4680.0,100.0,6180.0,850.0,2,train
0.0342,0.0997,0.0521,0.0183,0.0092,0.0274,0.0387,0.0291,0.0165,0.03,6180.0,850.0,,,1,train
0.0366,0.1051,0.0669,0.0556,0.0651,0.0297,0.0451,0.0475,0.1244,0.1352,6180.0,850.0,12930.0,4350.0,2,train
0.0,0.0107,0.0194,0.0423,0.0598,0.01,0.0168,0.0255,0.1135,0.1317,12930.0,4350.0,,,1,train
0.0313,0.0323,0.0329,0.0477,0.0616,0.067,0.1337,0.0477,0.119,0.1334,12930.0,4350.0,4930.0,4850.0,2,train
0.0301,0.0284,0.0191,0.0117,0.0,0.0653,0.1279,0.0308,0.0129,0.0305,4930.0,4850.0,,,1,test
0.0377,0.0425,0.0519,0.0478,0.0282,0.073,0.1483,0.0911,0.0796,0.0508,4930.0,4850.0,9930.0,3600.0,2,train
0.0,0.0169,0.0356,0.0408,0.0252,0.0118,0.0273,0.0657,0.0718,0.0484,9930.0,3600.0,,,1,train
0.1631,0.0546,0.049,0.0455,0.0271,0.0553,0.0554,0.0776,0.0762,0.0506,9930.0,3600.0,430.0,100.0,2,train
0.1553,0.0396,0.0156,0.0017,0.0,0.047,0.0342,0.0165,0.0,0.0288,430.0,100.0,,,1,train
0.1562,0.042,0.0242,0.0422,0.1276,0.0479,0.0367,0.0244,0.0404,0.1128,430.0,100.0,14430.0,2350.0,2,train
0.0,0.0,0.0128,0.0386,0.1256,0.0,0.0117,0.0147,0.037,0.1111,14430.0,2350.0,,,1,test
0.0155,0.0471,0.1561,0.0592,0.1326,0.0151,0.0286,0.0347,0.0505,0.1168,14430.0,2350.0,7930.0,100.0,2,train
0.0171,0.0458,0.1469,0.0262,0.0117,0.0163,0.0274,0.0274,0.0197,0.0339,7930.0,100.0,,,1,train
0.0186,0.0502,0.1608,0.0769,0.095,0.018,0.0324,0.0414,0.0694,0.1045,7930.0,100.0,13180.0,2600.0,2,train
0.0,0.0,0.0171,0.0556,0.0871,0.0,0.0126,0.0195,0.055,0.0986,13180.0,2600.0,,,1,train
0.0,0.0,0.0195,0.0581,0.0713,0.0,0.0126,0.0224,0.0676,0.0932,12680.0,2850.0,,,1,train
0.0,0.023,0.0898,0.0754,0.0277,0.0108,0.0244,0.0385,0.0409,0.0457,9680.0,1350.0,,,1,train
0.0123,0.0287,0.1058,0.1346,0.1236,0.0145,0.031,0.0528,0.0834,0.1055,9680.0,1350.0,13180.0,2100.0,2,test
0.0,0.0084,0.0179,0.0635,0.1002,0.0,0.0129,0.0188,0.0474,0.0881,13180.0,2100.0,,,1,train
0.0436,0.037,0.0332,0.0696,0.1028,0.1035,0.0806,0.0385,0.0536,0.0901,13180.0,2100.0,3930.0,4350.0,2,train
0.0416,0.0329,0.0184,0.0111,0.0,0.1015,0.0755,0.0258,0.0119,0.0306,3930.0,4350.0,,,1,train
0.0482,0.0471,0.0771,0.1039,0.0341,0.1072,0.0886,0.0506,0.0449,0.0499,3930.0,4350.0,10430.0,1100.0,2,train
0.0088,0.0177,0.0616,0.0977,0.0314,0.0109,0.0202,0.0305,0.0383,0.0476,10430.0,1100.0,,,1,train
0.0,0.0192,0.0704,0.1321,0.1591,0.0101,0.0219,0.0389,0.0731,0.1547,10430.0,1100.0,14680.0,2600.0,2,train
0.0,0.0,0.0128,0.0402,0.1266,0.0,0.0,0.0143,0.0411,0.1298,14680.0,2600.0,,,1,train
0.1515,0.0443,0.027,0.0444,0.1278,0.0481,0.0381,0.027,0.0452,0.131,14680.0,2600.0,430.0,350.0,2,train
0.151,0.0429,0.0206,0.0145,0.0127,0.0479,0.0369,0.0216,0.0149,0.0315,430.0,350.0,,,1,train
0.1573,0.0563,0.0706,0.0908,0.0405,0.0537,0.0509,0.0512,0.0577,0.0542,430.0,350.0,10430.0,1850.0,2,train
0.0129,0.0223,0.0586,0.0865,0.0389,0.0134,0.0246,0.0402,0.0537,0.0532,10430.0,1850.0,,,1,train
0.019,0.0389,0.1431,0.1449,0.0566,0.0193,0.038,0.0643,0.0792,0.0672,10430.0,1850.0,9680.0,850.0,2,train
0.0136,0.0252,0.0943,0.0701,0.028,0.0138,0.0241,0.0339,0.0367,0.0434,9680.0,850.0,,,1,train
0.0151,0.0321,0.1179,0.1278,0.0725,0.0158,0.0322,0.0588,0.1066,0.0873,9680.0,850.0,11680.0,2850.0,2,train
0.0105,0.0164,0.033,0.0691,0.055,0.0111,0.0198,0.0353,0.0819,0.0741,11680.0,2850.0,,,1,train
0.0288,0.0403,0.0571,0.0816,0.0605,0.035,0.1132,0.1102,0.098,0.0788,11680.0,2850.0,6930.0,4600.0,2,train
0.0245,0.0319,0.0316,0.0222,0.0147,0.031,0.1031,0.0848,0.027,0.0338,6930.0,4600.0,,,1,train
0.1665,0.1182,0.0547,0.0294,0.0166,0.073,0.139,0.1022,0.0337,0.0352,6930.0,4600.0,3680.0,100.0,2,train
0.15,0.095,0.031,0.0169,0.0122,0.0501,0.0462,0.0273,0.0167,0.0309,3680.0,100.0,,,1,train
0.1513,0.0982,0.0426,0.0809,0.144,0.051,0.0492,0.0359,0.0448,0.0752,3680.0,100.0,13430.0,850.0,2,train
0.0005,0.0122,0.0204,0.074,0.1405,0.0093,0.0144,0.0189,0.0386,0.0728,13430.0,850.0,,,1,train
0.0,0.0115,0.0274,0.1025,0.2241,0.0,0.0139,0.0252,0.0735,0.1868,13430.0,850.0,14430.0,3100.0,2,train
0.0,0.0095,0.0151,0.0391,0.0984,0.0,0.0117,0.0169,0.0466,0.1495,14430.0,3100.0,,,1,train
0.0094,0.0213,0.0544,0.1012,0.1293,0.0115,0.0255,0.0527,0.1062,0.1746,14430.0,3100.0,5180.0,2600.0,2,train
0.0109,0.02,0.0463,0.0721,0.0416,0.0123,0.024,0.045,0.0714,0.0588,5180.0,2600.0,,,1,train
0.1369,0.0457,0.0201,0.0126,0.0094,0.0562,0.04,0.0212,0.0126,0.0289,1180.0,1600.0,,,1,train
0.1372,0.0469,0.0251,0.0339,0.0875,0.0566,0.0414,0.0259,0.0399,0.1938,1180.0,1600.0,15930.0,3850.0,2,train
0.0094,0.0117,0.0143,0.0315,0.0864,0.0098,0.0139,0.0164,0.0377,0.1923,15930.0,3850.0,,,1,train
0.0565,0.0446,0.0251,0.015,0.0097,0.0872,0.0718,0.0307,0.0155,0.0287,3930.0,3600.0,,,1,train
0.0555,0.0404,0.0226,0.0143,0.0098,0.1048,0.0643,0.0275,0.0148,0.0282,3430.0,3850.0,,,1,train
0.0574,0.0446,0.0363,0.0475,0.0517,0.1067,0.07,0.045,0.1237,0.0964,3430.0,3850.0,12430.0,4100.0,2,train
0.0,0.0121,0.0207,0.0419,0.049,0.0,0.0151,0.0264,0.1177,0.0943,12430.0,4100.0,,,1,train
0.0104,0.0244,0.0768,0.1294,0.0753,0.0121,0.0263,0.0513,0.1503,0.112,12430.0,4100.0,10430.0,1350.0,2,train
0.0107,0.0209,0.0635,0.0981,0.036,0.0116,0.0217,0.0343,0.0447,0.0486,10430.0,1350.0,,,1,train
0.0255,0.056,0.0935,0.0344,0.0175,0.0234,0.0389,0.0417,0.0287,0.0353,7680.0,1350.0,,,1,train
0.0146,0.0252,0.0483,0.1632,0.0724,0.0167,0.0384,0.1343,0.0833,0.0679,9180.0,4600.0,12180.0,600.0,2,train
0.0,0.0107,0.0227,0.1377,0.059,0.0,0.0122,0.018,0.0334,0.054,12180.0,600.0,,,1,test
0.0143,0.0363,0.1482,0.1689,0.0693,0.0149,0.0291,0.0424,0.0526,0.0628,12180.0,600.0,8680.0,850.0,2,train
0.0158,0.0335,0.1324,0.0394,0.0184,0.0155,0.0266,0.033,0.0288,0.0366,8680.0,850.0,,,1,train
0.1098,0.0919,0.1549,0.0483,0.0218,0.0978,0.0861,0.0576,0.0375,0.0397,8680.0,850.0,3430.0,2600.0,2,train
0.0972,0.064,0.0292,0.0143,0.0101,0.0866,0.0669,0.0323,0.0168,0.0302,3430.0,2600.0,,,1,train
0.104,0.0773,0.0577,0.0463,0.0302,0.094,0.0874,0.1027,0.0935,0.0525,3430.0,2600.0,9930.0,4100.0,2,train
0.0137,0.0213,0.0345,0.0383,0.0269,0.015,0.0304,0.0795,0.0854,0.0497,9930.0,4100.0,,,1,train
0.0118,0.0216,0.0399,0.062,0.153,0.0137,0.0308,0.0844,0.1086,0.1449,9930.0,4100.0,15930.0,2350.0,2,train
0.0,0.01,0.012,0.0315,0.1353,0.0,0.0119,0.0146,0.0342,0.1265,15930.0,2350.0,,,1,train
0.1977,0.0339,0.0174,0.0322,0.1353,0.0258,0.0234,0.0182,0.0347,0.1261,15930.0,2350.0,2680.0,100.0,2,train
0.2448,0.0405,0.0155,0.0092,0.0,0.032,0.0277,0.0156,0.0039,0.0239,2680.0,100.0,,,1,train
0.2432,0.0477,0.0352,0.0384,0.0289,0.0355,0.0394,0.058,0.1496,0.0494,2680.0,100.0,10930.0,4600.0,2,train
0.0099,0.018,0.0274,0.0361,0.0284,0.0137,0.0246,0.0515,0.1467,0.05,10930.0,4600.0,,,1,train
0.0211,0.0588,0.11,0.0327,0.0164,0.0218,0.0363,0.0368,0.0251,0.0331,7680.0,850.0,,,1,train
0.0866,0.1534,0.1332,0.0394,0.0185,0.0532,0.068,0.0542,0.0317,0.0359,7680.0,850.0,4680.0,850.0,2,train
0.068,0.1032,0.0314,0.0157,0.0102,0.0383,0.0414,0.026,0.0142,0.0293,4680.0,850.0,,,1,train
0.079,0.1229,0.0692,0.0455,0.0247,0.0498,0.0738,0.1099,0.0603,0.0435,4680.0,850.0,8930.0,3600.0,2,train
0.0153,0.0277,0.044,0.0378,0.0222,0.0184,0.0424,0.0929,0.0532,0.0414,8930.0,3600.0,,,1,train
0.047,0.0531,0.0588,0.0436,0.0242,0.0997,0.1351,0.1141,0.0595,0.0437,8930.0,3600.0,4430.0,5100.0,2,train
0.0362,0.0329,0.0205,0.0136,0.0096,0.0878,0.103,0.0298,0.0133,0.0292,4430.0,5100.0,,,1,train
0.053,0.0554,0.0434,0.0251,0.0131,0.11,0.195,0.1934,0.0291,0.0317,4430.0,5100.0,6930.0,4600.0,2,train
0.0275,0.0422,0.0591,0.0593,0.037,0.0356,0.1198,0.1322,0.1053,0.0583,6930.0,4600.0,10430.0,3600.0,2,train
0.0103,0.0193,0.0355,0.0467,0.0312,0.0124,0.0261,0.0586,0.0891,0.0527,10430.0,3600.0,,,1,train
0.0155,0.0358,0.1654,0.0847,0.0427,0.0171,0.0377,0.077,0.1062,0.0617,10430.0,3600.0,9180.0,350.0,2,train
0.0113,0.0245,0.1352,0.0462,0.0188,0.0121,0.0217,0.0268,0.0244,0.0358,9180.0,350.0,,,1,train
0.0512,0.0783,0.167,0.0581,0.0232,0.0505,0.08,0.0605,0.037,0.0395,9180.0,350.0,5680.0,2600.0,2,train
